day;timestamp;product;bid_price_1;bid_volume_1;bid_price_2;bid_volume_2;bid_price_3;bid_volume_3;ask_price_1;ask_volume_1;ask_price_2;ask_volume_2;ask_price_3;ask_volume_3;mid_price;profit_and_loss
0;0;ASH_COATED_OSMIUM;;;;;;;10013;30;;;;;10013.0;0.0
0;0;INTARIAN_PEPPER_ROOT;11991;19;;;;;12006;10;12009;19;;;11998.5;0.0
0;100;INTARIAN_PEPPER_ROOT;11994;9;11991;23;;;12007;9;12010;23;;;12000.5;0.0
0;100;ASH_COATED_OSMIUM;9995;13;;;;;10011;13;10013;30;;;10003.0;0.0
0;200;INTARIAN_PEPPER_ROOT;11991;20;;;;;12007;11;12010;20;;;11999.0;0.0
0;200;ASH_COATED_OSMIUM;9994;13;9992;21;;;10013;21;;;;;10003.5;0.0
0;300;ASH_COATED_OSMIUM;9994;11;9992;23;;;10010;11;10013;23;;;10002.0;0.0
0;300;INTARIAN_PEPPER_ROOT;11994;10;11991;24;;;12007;10;;;;;12000.5;0.0
0;400;ASH_COATED_OSMIUM;9994;13;9991;23;;;10010;13;10012;23;;;10002.0;0.0
0;400;INTARIAN_PEPPER_ROOT;11994;12;11991;25;;;;;;;;;11994.0;0.0
0;500;INTARIAN_PEPPER_ROOT;11994;11;11991;25;;;12007;11;12010;25;;;12000.5;0.0
0;500;ASH_COATED_OSMIUM;9994;12;9991;22;;;10010;12;10012;22;;;10002.0;0.0
0;600;INTARIAN_PEPPER_ROOT;11991;17;;;;;12007;9;12010;17;;;11999.0;0.0
0;600;ASH_COATED_OSMIUM;9991;24;;;;;10010;12;;;;;10000.5;0.0
0;700;ASH_COATED_OSMIUM;9991;27;;;;;10010;10;;;;;10000.5;0.0
0;700;INTARIAN_PEPPER_ROOT;11994;11;11991;24;;;12007;11;12010;24;;;12000.5;0.0
0;800;ASH_COATED_OSMIUM;9993;11;;;;;10012;26;;;;;10002.5;0.0
0;800;INTARIAN_PEPPER_ROOT;11994;9;;;;;;;;;;;11994.0;0.0
0;900;INTARIAN_PEPPER_ROOT;11994;8;11991;15;;;12007;8;12010;15;;;12000.5;0.0
0;900;ASH_COATED_OSMIUM;9992;11;9990;27;;;10008;11;10011;27;;;10000.0;0.0
0;1000;INTARIAN_PEPPER_ROOT;11994;11;11991;17;;;12007;11;12010;17;;;12000.5;0.0
0;1000;ASH_COATED_OSMIUM;9993;12;9990;26;;;10009;12;10011;26;;;10001.0;0.0
0;1100;ASH_COATED_OSMIUM;9993;13;;;;;;;;;;;9993.0;0.0
0;1100;INTARIAN_PEPPER_ROOT;;;;;;;12008;12;12011;15;;;12008.0;0.0
0;1200;ASH_COATED_OSMIUM;9999;2;9993;14;;;;;;;;;9999.0;0.0
0;1200;INTARIAN_PEPPER_ROOT;11995;8;11992;21;;;12008;8;12011;21;;;12001.5;0.0
0;1300;INTARIAN_PEPPER_ROOT;11995;8;;;;;12008;8;12011;21;;;12001.5;0.0
0;1300;ASH_COATED_OSMIUM;9993;11;9991;27;;;10009;11;10012;27;;;10001.0;0.0
0;1400;INTARIAN_PEPPER_ROOT;11995;8;11992;19;;;12008;8;;;;;12001.5;0.0
0;1400;ASH_COATED_OSMIUM;9993;12;9990;24;;;10009;12;10011;24;;;10001.0;0.0
0;1500;ASH_COATED_OSMIUM;9992;14;9990;20;;;10008;14;10011;20;;;10000.0;0.0
0;1500;INTARIAN_PEPPER_ROOT;11995;9;11992;21;;;12011;21;;;;;12003.0;0.0
0;1600;ASH_COATED_OSMIUM;9992;12;;;;;10011;22;;;;;10001.5;0.0
0;1600;INTARIAN_PEPPER_ROOT;11995;10;11992;24;;;12011;24;;;;;12003.0;0.0
0;1700;INTARIAN_PEPPER_ROOT;11995;10;11992;16;;;;;;;;;11995.0;0.0
0;1700;ASH_COATED_OSMIUM;9992;11;9990;27;;;10008;11;10011;27;;;10000.0;0.0
0;1800;INTARIAN_PEPPER_ROOT;11995;10;11992;15;;;12008;10;12011;15;;;12001.5;0.0
0;1800;ASH_COATED_OSMIUM;9997;2;9992;11;9989;25;10008;11;10010;25;;;10002.5;0.0
0;1900;ASH_COATED_OSMIUM;9992;14;9990;29;;;10008;14;;;;;10000.0;0.0
0;1900;INTARIAN_PEPPER_ROOT;11995;9;11992;23;;;12008;9;12011;23;;;12001.5;0.0
0;2000;ASH_COATED_OSMIUM;9993;10;;;;;10009;10;10012;25;;;10001.0;0.0
0;2000;INTARIAN_PEPPER_ROOT;11995;10;11992;25;;;12009;10;12012;25;;;12002.0;0.0
0;2100;INTARIAN_PEPPER_ROOT;;;;;;;12009;10;12012;23;;;12009.0;0.0
0;2100;ASH_COATED_OSMIUM;9993;13;9991;23;;;;;;;;;9993.0;0.0
0;2200;INTARIAN_PEPPER_ROOT;11996;12;11993;16;;;12009;12;12012;16;;;12002.5;0.0
0;2200;ASH_COATED_OSMIUM;;;;;;;10009;15;10012;30;;;10009.0;0.0
0;2300;INTARIAN_PEPPER_ROOT;11996;8;11993;22;;;12012;22;;;;;12004.0;0.0
0;2300;ASH_COATED_OSMIUM;9993;11;;;;;10009;11;10012;22;;;10001.0;0.0
0;2400;INTARIAN_PEPPER_ROOT;11996;12;11993;20;;;12009;12;12012;20;;;12002.5;0.0
0;2400;ASH_COATED_OSMIUM;9993;13;9991;23;;;10009;13;10012;23;;;10001.0;0.0
0;2500;ASH_COATED_OSMIUM;9993;10;9991;20;;;10012;20;;;;;10002.5;0.0
0;2500;INTARIAN_PEPPER_ROOT;12006;4;11996;10;11993;16;;;;;;;12006.0;0.0
0;2600;ASH_COATED_OSMIUM;9993;10;;;;;10012;25;;;;;10002.5;0.0
0;2600;INTARIAN_PEPPER_ROOT;11996;9;;;;;12009;9;12012;21;;;12002.5;0.0
0;2700;ASH_COATED_OSMIUM;9993;10;9991;24;;;10009;10;;;;;10001.0;0.0
0;2700;INTARIAN_PEPPER_ROOT;11996;11;11993;21;;;12009;11;12012;21;;;12002.5;0.0
0;2800;ASH_COATED_OSMIUM;9991;29;;;;;10009;10;10012;29;;;10000.0;0.0
0;2800;INTARIAN_PEPPER_ROOT;11996;10;11993;24;;;;;;;;;11996.0;0.0
0;2900;ASH_COATED_OSMIUM;9993;12;9991;23;;;10009;12;10012;23;;;10001.0;0.0
0;2900;INTARIAN_PEPPER_ROOT;11996;11;11993;19;;;12009;11;12012;19;;;12002.5;0.0
0;3000;ASH_COATED_OSMIUM;9993;10;9991;29;;;10009;10;10012;29;;;10001.0;0.0
0;3000;INTARIAN_PEPPER_ROOT;11996;8;11993;18;;;12010;8;12013;18;;;12003.0;0.0
0;3100;ASH_COATED_OSMIUM;9991;26;;;;;10010;14;;;;;10000.5;0.0
0;3100;INTARIAN_PEPPER_ROOT;;;;;;;12010;10;12013;18;;;12010.0;0.0
0;3200;INTARIAN_PEPPER_ROOT;11997;12;11994;21;;;12010;12;12013;21;;;12003.5;0.0
0;3200;ASH_COATED_OSMIUM;9999;4;9993;11;;;10009;11;;;;;10004.0;0.0
0;3300;INTARIAN_PEPPER_ROOT;;;;;;;12010;8;12013;22;;;12010.0;0.0
