day;timestamp;product;bid_price_1;bid_volume_1;bid_price_2;bid_volume_2;bid_price_3;bid_volume_3;ask_price_1;ask_volume_1;ask_price_2;ask_volume_2;ask_price_3;ask_volume_3;mid_price;profit_and_loss
-1;0;INTARIAN_PEPPER_ROOT;10994;9;;;;;11009;25;;;;;11001.5;0.0
-1;0;ASH_COATED_OSMIUM;9982;21;;;;;10000;13;10003;21;;;9991.0;0.0
-1;100;ASH_COATED_OSMIUM;9984;15;;;;;10000;15;10003;26;;;9992.0;0.0
-1;100;INTARIAN_PEPPER_ROOT;10994;8;10991;22;;;11006;8;11009;22;;;11000.0;0.0
-1;200;ASH_COATED_OSMIUM;9985;15;9982;30;;;10001;15;;;;;9993.0;0.0
-1;200;INTARIAN_PEPPER_ROOT;;;;;;;11006;9;11009;22;;;11006.0;0.0
-1;300;INTARIAN_PEPPER_ROOT;10994;8;;;;;11009;23;;;;;11001.5;0.0
-1;300;ASH_COATED_OSMIUM;9982;27;;;;;10003;27;;;;;9992.5;0.0
-1;400;INTARIAN_PEPPER_ROOT;10994;10;10992;15;;;11006;10;11009;15;;;11000.0;0.0
-1;400;ASH_COATED_OSMIUM;9995;8;9985;12;9983;25;10001;12;10004;25;;;9998.0;0.0
-1;500;ASH_COATED_OSMIUM;9985;11;9983;22;;;10001;11;10004;22;;;9993.0;0.0
-1;500;INTARIAN_PEPPER_ROOT;;;;;;;11009;19;;;;;11009.0;0.0
-1;600;ASH_COATED_OSMIUM;9986;13;;;;;10002;13;10004;25;;;9994.0;0.0
-1;600;INTARIAN_PEPPER_ROOT;10995;11;10992;23;;;11007;11;;;;;11001.0;0.0
-1;700;INTARIAN_PEPPER_ROOT;10995;9;;;;;11007;9;11009;24;;;11001.0;0.0
-1;700;ASH_COATED_OSMIUM;9985;11;9983;23;;;10001;11;10004;23;;;9993.0;0.0
-1;800;INTARIAN_PEPPER_ROOT;10995;8;;;;;11007;8;11010;20;;;11001.0;0.0
-1;800;ASH_COATED_OSMIUM;9985;12;9983;27;;;10004;27;;;;;9994.5;0.0
-1;900;ASH_COATED_OSMIUM;9985;12;9982;21;;;10001;12;;;;;9993.0;0.0
-1;900;INTARIAN_PEPPER_ROOT;10992;25;;;;;11007;8;11010;25;;;10999.5;0.0
-1;1000;ASH_COATED_OSMIUM;9985;14;9983;28;;;10001;14;10004;28;;;9993.0;0.0
-1;1000;INTARIAN_PEPPER_ROOT;10992;21;;;;;11007;10;11010;21;;;10999.5;0.0
-1;1100;INTARIAN_PEPPER_ROOT;10995;11;;;;;11007;11;;;;;11001.0;0.0
-1;1100;ASH_COATED_OSMIUM;9985;13;9983;28;;;10004;28;;;;;9994.5;0.0
-1;1200;INTARIAN_PEPPER_ROOT;10992;22;;;;;11010;22;;;;;11001.0;0.0
-1;1200;ASH_COATED_OSMIUM;9983;28;;;;;10001;12;10004;28;;;9992.0;0.0
-1;1300;ASH_COATED_OSMIUM;9985;13;9983;23;;;10004;23;;;;;9994.5;0.0
-1;1300;INTARIAN_PEPPER_ROOT;10995;12;;;;;11007;12;11010;16;;;11001.0;0.0
-1;1400;ASH_COATED_OSMIUM;9985;10;9983;24;;;10001;10;10004;24;;;9993.0;0.0
-1;1400;INTARIAN_PEPPER_ROOT;10995;10;10993;17;;;11007;10;;;;;11001.0;0.0
-1;1500;INTARIAN_PEPPER_ROOT;10995;11;10993;16;;;11007;11;11010;16;;;11001.0;0.0
-1;1500;ASH_COATED_OSMIUM;9985;12;9983;29;;;9991;4;10001;12;10004;29;9988.0;0.0
-1;1600;INTARIAN_PEPPER_ROOT;10996;8;10993;23;;;11008;8;11010;23;;;11002.0;0.0
-1;1600;ASH_COATED_OSMIUM;9985;14;9983;23;;;10004;23;;;;;9994.5;0.0
-1;1700;ASH_COATED_OSMIUM;9983;24;;;;;10001;13;;;;;9992.0;0.0
-1;1700;INTARIAN_PEPPER_ROOT;10993;15;;;;;11010;15;;;;;11001.5;0.0
-1;1800;ASH_COATED_OSMIUM;9986;13;9983;28;;;9995;4;10004;28;;;9990.5;0.0
-1;1800;INTARIAN_PEPPER_ROOT;10996;9;10993;16;;;11008;9;11011;16;;;11002.0;0.0
-1;1900;INTARIAN_PEPPER_ROOT;10996;10;;;;;11008;10;11011;25;;;11002.0;0.0
-1;1900;ASH_COATED_OSMIUM;;;;;;;10001;15;10004;24;;;10001.0;0.0
-1;2000;INTARIAN_PEPPER_ROOT;10996;12;10993;22;;;11008;12;11011;22;;;11002.0;0.0
-1;2000;ASH_COATED_OSMIUM;9985;13;;;;;10001;13;10004;22;;;9993.0;0.0
-1;2100;ASH_COATED_OSMIUM;9985;12;9983;25;;;10001;12;10004;25;;;9993.0;0.0
-1;2100;INTARIAN_PEPPER_ROOT;10996;8;10993;15;;;11008;8;;;;;11002.0;0.0
-1;2200;INTARIAN_PEPPER_ROOT;10996;12;10993;23;;;11008;12;;;;;11002.0;0.0
-1;2200;ASH_COATED_OSMIUM;9985;10;;;;;10001;10;10004;29;;;9993.0;0.0
-1;2300;INTARIAN_PEPPER_ROOT;10996;9;10994;25;;;11008;9;;;;;11002.0;0.0
