day;timestamp;product;bid_price_1;bid_volume_1;bid_price_2;bid_volume_2;bid_price_3;bid_volume_3;ask_price_1;ask_volume_1;ask_price_2;ask_volume_2;ask_price_3;ask_volume_3;mid_price;profit_and_loss
-2;0;EMERALDS;9992;11;9990;25;;;10008;11;10010;25;;;10000.0;0.0
-2;0;TOMATOES;4993;7;4992;17;;;5007;7;5008;17;;;5000.0;0.0
-2;100;TOMATOES;4998;5;4993;7;4992;16;5007;7;5008;16;;;5002.5;0.0
-2;100;EMERALDS;9992;15;9990;20;;;10008;15;10010;20;;;10000.0;0.0
-2;200;TOMATOES;4994;6;4993;20;;;5008;6;5009;20;;;5001.0;0.0
-2;200;EMERALDS;9992;15;9990;30;;;10008;15;10010;30;;;10000.0;0.0
-2;300;EMERALDS;9992;13;9990;26;;;10008;13;10010;26;;;10000.0;0.0
-2;300;TOMATOES;4995;5;4993;21;;;5008;5;5009;21;;;5001.5;0.0
-2;400;EMERALDS;9992;15;9990;20;;;10008;15;10010;20;;;10000.0;0.0
-2;400;TOMATOES;4995;8;4993;20;;;5008;8;5009;20;;;5001.5;0.0
-2;500;TOMATOES;4994;6;4993;16;;;5008;6;5009;16;;;5001.0;0.0
-2;500;EMERALDS;9992;13;9990;30;;;10008;13;10010;30;;;10000.0;0.0
-2;600;TOMATOES;4994;9;4992;16;;;5007;9;5008;16;;;5000.5;0.0
-2;600;EMERALDS;9992;12;9990;30;;;10008;12;10010;30;;;10000.0;0.0
-2;700;EMERALDS;9992;11;9990;27;;;10000;6;10008;11;10010;27;9996.0;0.0
-2;700;TOMATOES;4993;5;4992;17;;;5007;5;5008;17;;;5000.0;0.0
-2;800;EMERALDS;9992;15;9990;21;;;10008;15;10010;21;;;10000.0;0.0
-2;800;TOMATOES;4993;6;4992;23;;;5007;6;5008;23;;;5000.0;0.0
-2;900;TOMATOES;4994;5;4993;24;;;5008;5;5009;24;;;5001.0;0.0
-2;900;EMERALDS;9992;13;9990;30;;;10008;13;10010;30;;;10000.0;0.0
-2;1000;TOMATOES;4994;10;4992;24;;;5007;10;5008;24;;;5000.5;0.0
-2;1000;EMERALDS;9992;15;9990;22;;;10008;15;10010;22;;;10000.0;0.0
-2;1100;EMERALDS;9992;10;9990;25;;;10008;10;10010;25;;;10000.0;0.0
-2;1100;TOMATOES;4993;10;4992;21;;;5007;10;5008;21;;;5000.0;0.0
-2;1200;EMERALDS;9992;10;9990;27;;;10008;10;10010;27;;;10000.0;0.0
-2;1200;TOMATOES;4994;7;4992;21;;;5007;7;5008;21;;;5000.5;0.0
-2;1300;TOMATOES;4999;3;4993;9;4992;16;5007;9;5008;16;;;5003.0;0.0
-2;1300;EMERALDS;9992;10;9990;23;;;10008;10;10010;23;;;10000.0;0.0
-2;1400;TOMATOES;4992;9;4991;18;;;5006;9;5007;18;;;4999.0;0.0
-2;1400;EMERALDS;9992;13;9990;26;;;10008;13;10010;26;;;10000.0;0.0
-2;1500;EMERALDS;9992;12;9990;25;;;10008;12;10010;25;;;10000.0;0.0
-2;1500;TOMATOES;4992;9;4991;23;;;5006;9;5007;23;;;4999.0;0.0
-2;1600;EMERALDS;9992;15;9990;23;;;10008;15;10010;23;;;10000.0;0.0
-2;1600;TOMATOES;4992;10;4991;24;;;5006;10;5007;24;;;4999.0;0.0
-2;1700;TOMATOES;4993;5;4992;18;;;5006;5;5008;18;;;4999.5;0.0
-2;1700;EMERALDS;9992;12;9990;28;;;10008;12;10010;28;;;10000.0;0.0
