day;timestamp;product;bid_price_1;bid_volume_1;bid_price_2;bid_volume_2;bid_price_3;bid_volume_3;ask_price_1;ask_volume_1;ask_price_2;ask_volume_2;ask_price_3;ask_volume_3;mid_price;profit_and_loss
-2;0;RAINFOREST_RESIN;9996;1;9995;25;;;10004;1;10005;25;;;10000.0;0.0
-2;0;KELP;1998;26;;;;;2002;26;;;;;2000.0;0.0
-2;0;SQUID_INK;1998;26;;;;;2002;26;;;;;2000.0;0.0
-2;100;SQUID_INK;1999;5;1998;26;;;2001;20;;;;;2000.0;0.0
-2;100;RAINFOREST_RESIN;10000;5;9995;20;;;10005;20;;;;;10002.5;0.0
-2;100;KELP;2000;5;1999;6;1998;20;2002;20;;;;;2001.0;0.0
-2;200;KELP;1999;1;1998;30;;;2002;31;;;;;2000.5;0.0
-2;200;SQUID_INK;1997;31;;;;;2000;1;2001;30;;;1998.5;0.0
-2;200;RAINFOREST_RESIN;9996;1;9995;30;;;10004;1;10005;30;;;10000.0;0.0
-2;300;RAINFOREST_RESIN;9996;1;9995;26;;;10004;1;10005;26;;;10000.0;0.0
-2;300;KELP;1999;27;;;;;2002;27;;;;;2000.5;0.0
-2;300;SQUID_INK;1997;27;;;;;2000;27;;;;;1998.5;0.0
-2;400;RAINFOREST_RESIN;9995;20;;;;;9998;3;10002;9;10005;20;9996.5;0.0
-2;400;KELP;1999;20;;;;;2002;20;;;;;2000.5;0.0
-2;400;SQUID_INK;1996;20;;;;;2000;20;;;;;1998.0;0.0
-2;500;SQUID_INK;1999;1;1997;30;;;2000;30;;;;;1999.5;0.0
-2;500;RAINFOREST_RESIN;9995;30;;;;;10005;30;;;;;10000.0;0.0
-2;500;KELP;2001;1;1999;30;;;2002;30;;;;;2001.5;0.0
-2;600;KELP;1999;30;;;;;2002;30;;;;;2000.5;0.0
-2;600;SQUID_INK;1997;30;;;;;2001;30;;;;;1999.0;0.0
-2;600;RAINFOREST_RESIN;9995;30;;;;;10005;30;;;;;10000.0;0.0
-2;700;RAINFOREST_RESIN;9998;5;9996;1;9995;27;10004;1;10005;27;;;10001.0;0.0
-2;700;KELP;1999;28;;;;;2002;28;;;;;2000.5;0.0
-2;700;SQUID_INK;1999;28;;;;;2002;28;;;;;2000.5;0.0
-2;800;RAINFOREST_RESIN;9996;2;9995;21;;;10004;2;10005;21;;;10000.0;0.0
-2;800;KELP;2001;1;1999;23;;;2002;23;;;;;2001.5;0.0
-2;800;SQUID_INK;2002;1;1999;23;;;2003;23;;;;;2002.5;0.0
-2;900;SQUID_INK;1999;2;1998;30;;;2001;30;;;;;2000.0;0.0
-2;900;RAINFOREST_RESIN;9995;30;;;;;10005;30;;;;;10000.0;0.0
-2;900;KELP;2000;2;1999;30;;;2002;30;;;;;2001.0;0.0
-2;1000;KELP;1999;24;;;;;2001;8;2002;24;;;2000.0;0.0
