day;timestamp;product;bid_price_1;bid_volume_1;bid_price_2;bid_volume_2;bid_price_3;bid_volume_3;ask_price_1;ask_volume_1;ask_price_2;ask_volume_2;ask_price_3;ask_volume_3;mid_price;profit_and_loss
0;0;RAINFOREST_RESIN;9998;1;9995;30;;;10005;30;;;;;10001.5;0.0
0;0;KELP;2028;30;;;;;2032;30;;;;;2030.0;0.0
0;0;SQUID_INK;1968;30;;;;;1971;30;;;;;1969.5;0.0
0;100;SQUID_INK;1969;4;1967;31;;;1971;31;;;;;1970.0;0.0
0;100;KELP;2030;4;2028;31;;;2032;31;;;;;2031.0;0.0
0;100;RAINFOREST_RESIN;9996;1;9995;30;;;10002;6;10004;1;10005;30;9999.0;0.0
0;200;SQUID_INK;1966;1;1965;21;;;1969;22;;;;;1967.5;0.0
0;200;RAINFOREST_RESIN;9996;1;9995;21;;;10004;1;10005;21;;;10000.0;0.0
0;200;KELP;2029;1;2028;21;;;2032;22;;;;;2030.5;0.0
0;300;SQUID_INK;1965;25;;;;;1968;25;;;;;1966.5;0.0
0;300;KELP;2029;25;;;;;2032;25;;;;;2030.5;0.0
0;300;RAINFOREST_RESIN;9996;2;9995;23;;;9998;3;10004;2;10005;23;9997.0;0.0
0;400;RAINFOREST_RESIN;9998;5;9996;2;9995;23;10004;2;10005;23;;;10001.0;0.0
0;400;KELP;2029;2;2028;23;;;2030;6;2032;25;;;2029.5;0.0
0;400;SQUID_INK;1966;25;;;;;1968;6;1969;25;;;1967.0;0.0
0;500;SQUID_INK;1966;24;;;;;1970;24;;;;;1968.0;0.0
0;500;KELP;2028;24;;;;;2031;24;;;;;2029.5;0.0
0;500;RAINFOREST_RESIN;10002;1;9996;2;9995;22;10004;2;10005;22;;;10003.0;0.0
0;600;SQUID_INK;1965;26;;;;;1968;26;;;;;1966.5;0.0
0;600;RAINFOREST_RESIN;9996;2;9995;24;;;10002;9;10004;2;10005;24;9999.0;0.0
0;600;KELP;2028;26;;;;;2031;26;;;;;2029.5;0.0
0;700;SQUID_INK;1967;32;;;;;1970;27;;;;;1968.5;0.0
0;700;KELP;2029;5;2028;27;;;2032;27;;;;;2030.5;0.0
0;700;RAINFOREST_RESIN;9998;7;9995;27;;;10005;27;;;;;10001.5;0.0
0;800;RAINFOREST_RESIN;9995;26;;;;;10005;26;;;;;10000.0;0.0
0;800;KELP;2028;26;;;;;2032;26;;;;;2030.0;0.0
0;800;SQUID_INK;1967;26;;;;;1970;26;;;;;1968.5;0.0
0;900;SQUID_INK;1966;29;;;;;1970;29;;;;;1968.0;0.0
0;900;KELP;2029;29;;;;;2032;29;;;;;2030.5;0.0
0;900;RAINFOREST_RESIN;9996;2;9995;27;;;10004;2;10005;27;;;10000.0;0.0
0;1000;SQUID_INK;1967;28;;;;;1970;28;;;;;1968.5;0.0
0;1000;RAINFOREST_RESIN;9996;2;9995;26;;;10004;2;10005;26;;;10000.0;0.0
0;1000;KELP;2029;28;;;;;2032;28;;;;;2030.5;0.0
0;1100;SQUID_INK;1968;31;;;;;1971;25;;;;;1969.5;0.0
0;1100;KELP;2029;31;;;;;2032;25;;;;;2030.5;0.0
0;1100;RAINFOREST_RESIN;9996;2;9995;23;;;10004;2;10005;23;;;10000.0;0.0
0;1200;RAINFOREST_RESIN;9998;9;9996;2;9995;28;10004;2;10005;28;;;10001.0;0.0
0;1200;KELP;2030;8;2029;30;;;2033;30;;;;;2031.5;0.0
0;1200;SQUID_INK;1968;38;;;;;1971;30;;;;;1969.5;0.0
0;1300;SQUID_INK;1968;23;;;;;1971;28;;;;;1969.5;0.0
0;1300;KELP;2029;28;;;;;2030;5;2033;28;;;2029.5;0.0
0;1300;RAINFOREST_RESIN;9996;1;9995;27;;;10004;1;10005;27;;;10000.0;0.0
0;1400;SQUID_INK;1969;1;1968;24;;;1972;26;;;;;1970.5;0.0
0;1400;RAINFOREST_RESIN;9996;2;9995;24;;;10004;2;10005;24;;;10000.0;0.0
0;1400;KELP;2029;25;;;;;2033;26;;;;;2031.0;0.0
0;1500;SQUID_INK;1971;1;1969;22;;;1972;22;;;;;1971.5;0.0
0;1500;KELP;2032;1;2029;22;;;2033;22;;;;;2032.5;0.0
0;1500;RAINFOREST_RESIN;10002;1;9996;2;9995;20;10004;2;10005;20;;;10003.0;0.0
0;1600;RAINFOREST_RESIN;9996;1;9995;22;;;10004;1;10005;22;;;10000.0;0.0
0;1600;KELP;2029;23;;;;;2033;23;;;;;2031.0;0.0
0;1600;SQUID_INK;1970;23;;;;;1974;23;;;;;1972.0;0.0
0;1700;SQUID_INK;1970;27;;;;;1972;8;1973;27;;;1971.0;0.0
0;1700;KELP;2029;27;;;;;2031;8;2033;27;;;2030.0;0.0
0;1700;RAINFOREST_RESIN;9995;27;;;;;10005;27;;;;;10000.0;0.0
0;1800;SQUID_INK;1971;35;;;;;1974;27;;;;;1972.5;0.0
0;1800;RAINFOREST_RESIN;9996;2;9995;25;;;10004;2;10005;25;;;10000.0;0.0
0;1800;KELP;2030;8;2029;27;;;2033;27;;;;;2031.5;0.0
0;1900;SQUID_INK;1969;31;;;;;1972;31;;;;;1970.5;0.0
0;1900;KELP;2030;31;;;;;2033;31;;;;;2031.5;0.0
0;1900;RAINFOREST_RESIN;9996;2;9995;29;;;10004;2;10005;29;;;10000.0;0.0
0;2000;RAINFOREST_RESIN;9996;1;9995;25;;;10002;7;10004;1;10005;25;9999.0;0.0
0;2000;KELP;2030;19;;;;;2033;26;;;;;2031.5;0.0
0;2000;SQUID_INK;1972;19;;;;;1975;26;;;;;1973.5;0.0
0;2100;KELP;2030;23;;;;;2034;23;;;;;2032.0;0.0
0;2100;SQUID_INK;1971;23;;;;;1974;23;;;;;1972.5;0.0
0;2100;RAINFOREST_RESIN;9995;23;;;;;10005;23;;;;;10000.0;0.0
0;2200;KELP;2030;32;;;;;2034;32;;;;;2032.0;0.0
0;2200;SQUID_INK;1972;2;1971;30;;;1975;32;;;;;1973.5;0.0
0;2200;RAINFOREST_RESIN;9996;2;9995;30;;;10004;2;10005;30;;;10000.0;0.0
0;2300;SQUID_INK;1971;24;;;;;1975;24;;;;;1973.0;0.0
0;2300;RAINFOREST_RESIN;9996;2;9995;22;;;10004;2;10005;22;;;10000.0;0.0
0;2300;KELP;2030;24;;;;;2033;24;;;;;2031.5;0.0
0;2400;RAINFOREST_RESIN;9998;4;9996;2;9995;23;10004;2;10005;23;;;10001.0;0.0
0;2400;KELP;2032;10;2030;25;;;2033;25;;;;;2032.5;0.0
0;2400;SQUID_INK;1975;10;1973;25;;;1976;25;;;;;1975.5;0.0
0;2500;KELP;2030;21;;;;;2033;1;2034;20;;;2031.5;0.0
0;2500;SQUID_INK;1973;1;1972;20;;;1976;21;;;;;1974.5;0.0
0;2500;RAINFOREST_RESIN;9996;1;9995;20;;;10004;1;10005;20;;;10000.0;0.0
0;2600;KELP;2030;25;;;;;2034;25;;;;;2032.0;0.0
0;2600;SQUID_INK;1972;25;;;;;1976;25;;;;;1974.0;0.0
0;2600;RAINFOREST_RESIN;9995;25;;;;;10005;25;;;;;10000.0;0.0
0;2700;SQUID_INK;1972;25;;;;;1974;3;1975;25;;;1973.0;0.0
0;2700;RAINFOREST_RESIN;9998;4;9996;1;9995;24;10004;1;10005;24;;;10001.0;0.0
0;2700;KELP;2030;25;;;;;2032;3;2033;1;2034;24;2031.0;0.0
0;2800;RAINFOREST_RESIN;9998;5;9995;29;;;10005;29;;;;;10001.5;0.0
0;2800;KELP;2033;1;2030;29;;;2034;29;;;;;2033.5;0.0
0;2800;SQUID_INK;1973;1;1971;29;;;1975;29;;;;;1974.0;0.0
0;2900;KELP;2030;25;;;;;2034;25;;;;;2032.0;0.0
0;2900;SQUID_INK;1972;2;1971;23;;;1975;25;;;;;1973.5;0.0
